source,target,status
/manual/gestion-de-personal/2-como-imputar-tareas/,/manual/tareas/2-como-imputar-tareas/,301
/manual/gestion-de-personal/2-imputacion-de-tareas/,/manual/tareas/2-imputacion-de-tareas/,301
/manual/gestion-de-personal/2-menos-de-12-hrs-entre-fichajes/,/manual/control-horario/2-menos-de-12-hrs-entre-fichajes/,301
/manual/gestion-de-personal/2-subir-documentos/,/manual/documentos/2-subir-documentos/,301
/manual/gestion-de-personal/2-ver-documentos-subidos/,/manual/documentos/2-ver-documentos-subidos/,301
/manual/gestion-de-personal/21-importar-fichajes-de-trabajadores/,/manual/control-horario/21-importar-fichajes-de-trabajadores/,301
/manual/gestion-de-personal/24-importacion-de-ajustes-coeficiente-de-horas/,/manual/configuracion-y-cuenta/24-importacion-de-ajustes-coeficiente-de-horas/,301
/manual/gestion-de-personal/27-importar-peticiones/,/manual/peticiones-y-cambios/27-importar-peticiones/,301
/manual/gestion-de-personal/3-1-maestro-de-absentismos/,/manual/planificacion/3-1-maestro-de-absentismos/,301
/manual/gestion-de-personal/3-3-informe-y-ratios-de-absentimos/,/manual/planificacion/3-3-informe-y-ratios-de-absentimos/,301
/manual/gestion-de-personal/3-mas-de-2-hrs-entre-fichajes/,/manual/control-horario/3-mas-de-2-hrs-entre-fichajes/,301
/manual/gestion-de-personal/4-3-turnos-y-horas/,/manual/planificacion/4-3-turnos-y-horas/,301
/manual/gestion-de-personal/4-5-periodos-de-vacaciones/,/manual/planificacion/4-5-periodos-de-vacaciones/,301
/manual/gestion-de-personal/4-exportacion-a-nominas/,/manual/costes-y-nominas/4-exportacion-a-nominas/,301
/manual/gestion-de-personal/4-insertar-periodos-de-absentismos-totales-y-temporales/,/manual/planificacion/4-insertar-periodos-de-absentismos-totales-y-temporales/,301
/manual/gestion-de-personal/4-mis-fichajes/,/manual/control-horario/4-mis-fichajes/,301
/manual/gestion-de-personal/4-sobre-vacaciones-festivos-y-bolsas-de-horas/,/manual/planificacion/4-sobre-vacaciones-festivos-y-bolsas-de-horas/,301
/manual/gestion-de-personal/5-1-cuadrante-por-localizaciones/,/manual/recursos-y-partes/5-1-cuadrante-por-localizaciones/,301
/manual/gestion-de-personal/5-1-exportar-nominas/,/manual/costes-y-nominas/5-1-exportar-nominas/,301
/manual/gestion-de-personal/5-11-tipos-de-fichajes/,/manual/control-horario/5-11-tipos-de-fichajes/,301
/manual/gestion-de-personal/5-17-flexibilidad-de-fichajes/,/manual/control-horario/5-17-flexibilidad-de-fichajes/,301
/manual/gestion-de-personal/5-importar-ofertas-de-turnos/,/manual/planificacion/5-importar-ofertas-de-turnos/,301
/manual/gestion-de-personal/6-1-estadistica-por-periodo/,/manual/costes-y-nominas/6-1-estadistica-por-periodo/,301
/manual/gestion-de-personal/6-1-listado-de-conceptos-de-nomina/,/manual/costes-y-nominas/6-1-listado-de-conceptos-de-nomina/,301
/manual/gestion-de-personal/6-2-reporte-de-localizaciones/,/manual/recursos-y-partes/6-2-reporte-de-localizaciones/,301
/manual/gestion-de-personal/6-4-exportar-nominas/,/manual/costes-y-nominas/6-4-exportar-nominas/,301
/manual/gestion-de-personal/6-ajuste-de-absentismos/,/manual/planificacion/6-ajuste-de-absentismos/,301
/manual/gestion-de-personal/6-importar-ofertas-de-horas/,/manual/peticiones-y-cambios/6-importar-ofertas-de-horas/,301
/manual/gestion-de-personal/7-2-festivos/,/manual/planificacion/7-2-festivos/,301
/manual/gestion-de-personal/7-4-relacion-ids-external/,/manual/integraciones-y-api/7-4-relacion-ids-external/,301
/manual/gestion-de-personal/7-5-migrar-balance-de-horas-y-vacaciones/,/manual/planificacion/7-5-migrar-balance-de-horas-y-vacaciones/,301
/manual/gestion-de-personal/7-6-localizaciones/,/manual/recursos-y-partes/7-6-localizaciones/,301
/manual/gestion-de-personal/7-listado-de-fichajes/,/manual/control-horario/7-listado-de-fichajes/,301
/manual/gestion-de-personal/7-modifica-las-localizaciones/,/manual/recursos-y-partes/7-modifica-las-localizaciones/,301
/manual/gestion-de-personal/7-nominas/,/manual/costes-y-nominas/7-nominas/,301
/manual/gestion-de-personal/8-control-de-fichajes/,/manual/control-horario/8-control-de-fichajes/,301
/manual/gestion-de-personal/9-1-integracion-nominas/,/manual/costes-y-nominas/9-1-integracion-nominas/,301
/manual/gestion-de-personal/9-planificabilidad-disponibilidad/,/manual/planificacion/9-planificabilidad-disponibilidad/,301
/manual/gestion-de-personal/balance-vacaciones-anual/,/manual/planificacion/balance-vacaciones-anual/,301
/manual/gestion-de-personal/como-crear-un-parte-de-trabajo/,/manual/recursos-y-partes/como-crear-un-parte-de-trabajo/,301
/manual/gestion-de-personal/como-puedo-cambiar-la-contrasena-desde-la-app/,/manual/configuracion-y-cuenta/como-puedo-cambiar-la-contrasena-desde-la-app/,301
/manual/gestion-de-personal/conceptos-tipo-9-conceptos-asociados-a-las-jornadas-partidas/,/manual/planificacion/conceptos-tipo-9-conceptos-asociados-a-las-jornadas-partidas/,301
/manual/gestion-de-personal/costes-detalle/,/manual/costes-y-nominas/costes-detalle/,301
/manual/gestion-de-personal/costes-por-usuario/,/manual/costes-y-nominas/costes-por-usuario/,301
/manual/gestion-de-personal/d-oferta-de-turno/,/manual/peticiones-y-cambios/d-oferta-de-turno/,301
/manual/gestion-de-personal/documentos/,/manual/documentos/documentos/,301
/manual/gestion-de-personal/e-localizaciones/,/manual/recursos-y-partes/e-localizaciones/,301
/manual/gestion-de-personal/e-peticiones/,/manual/peticiones-y-cambios/e-peticiones/,301
/manual/gestion-de-personal/fichajes-sin-cerrar/,/manual/control-horario/fichajes-sin-cerrar/,301
/manual/gestion-de-personal/g-vacaciones/,/manual/planificacion/g-vacaciones/,301
/manual/gestion-de-personal/horas-computadas-mas-ajustes/,/manual/configuracion-y-cuenta/horas-computadas-mas-ajustes/,301
/manual/gestion-de-personal/jornadas-absentismos/,/manual/planificacion/jornadas-absentismos/,301
/manual/gestion-de-personal/peticion/,/manual/peticiones-y-cambios/peticion/,301
/manual/gestion-de-personal/restriccion-obligatoria/,/manual/planificacion/restriccion-obligatoria/,301
/manual/gestion-de-personal/restriccion/,/manual/planificacion/restriccion/,301
/manual/gestion-de-personal/roles-de-usuarios/,/manual/configuracion-y-cuenta/roles-de-usuarios/,301
/manual/gestion-de-personal/subir-y-descargar-documentos/,/manual/documentos/subir-y-descargar-documentos/,301
/manual/gestion-de-personal/turno-extraordinario/,/manual/planificacion/turno-extraordinario/,301
/manual/integraciones-y-api/4-1-plantilla-de-nomina/,/manual/costes-y-nominas/4-1-plantilla-de-nomina/,301
/manual/peticiones-y-cambios/6-listado-peticiones-de-fichajes/,/manual/control-horario/6-listado-peticiones-de-fichajes/,301
/manual/peticiones-y-cambios/solicitud-de-fichajes-pendientes/,/manual/control-horario/solicitud-de-fichajes-pendientes/,301
/manual/planificacion/1-1-filtros-de-fichajes/,/manual/control-horario/1-1-filtros-de-fichajes/,301
/manual/planificacion/1-2-detalle-de-los-fichajes/,/manual/control-horario/1-2-detalle-de-los-fichajes/,301
/manual/planificacion/1-3-comportamiento-de-aviso-de-cuadrante-cerrado-por-nomina/,/manual/costes-y-nominas/1-3-comportamiento-de-aviso-de-cuadrante-cerrado-por-nomina/,301
/manual/planificacion/1-5-estado-y-ajustar-fichajes/,/manual/control-horario/1-5-estado-y-ajustar-fichajes/,301
/manual/planificacion/1-descripcion-y-consideraciones-previas/,/manual/tareas/1-descripcion-y-consideraciones-previas/,301
/manual/planificacion/10-4-exportar-a-nominas/,/manual/costes-y-nominas/10-4-exportar-a-nominas/,301
/manual/planificacion/10-peticiones/,/manual/peticiones-y-cambios/10-peticiones/,301
/manual/planificacion/10-sobre-el-modulo-de-control-horario/,/manual/control-horario/10-sobre-el-modulo-de-control-horario/,301
/manual/planificacion/13-modifica-las-localizaciones/,/manual/recursos-y-partes/13-modifica-las-localizaciones/,301
/manual/planificacion/14-localizacion-por-defecto/,/manual/recursos-y-partes/14-localizacion-por-defecto/,301
/manual/planificacion/2-1-listado-de-fichajes/,/manual/control-horario/2-1-listado-de-fichajes/,301
/manual/planificacion/2-3-oferta-de-turno/,/manual/peticiones-y-cambios/2-3-oferta-de-turno/,301
/manual/planificacion/2-3-peticiones-y-cambios/,/manual/peticiones-y-cambios/2-3-peticiones-y-cambios/,301
/manual/planificacion/2-6-ajustes/,/manual/configuracion-y-cuenta/2-6-ajustes/,301
/manual/planificacion/3-cargar-demanda-desde-tareas/,/manual/tareas/3-cargar-demanda-desde-tareas/,301
/manual/planificacion/5-mas-de-5-hrs-fichadas-sin-descanso/,/manual/control-horario/5-mas-de-5-hrs-fichadas-sin-descanso/,301
/manual/planificacion/6-trabajadores-sin-descanso-realizado/,/manual/control-horario/6-trabajadores-sin-descanso-realizado/,301
/manual/planificacion/8-1-peticiones-de-reportes/,/manual/peticiones-y-cambios/8-1-peticiones-de-reportes/,301
/manual/planificacion/9-asignacion-de-tareas/,/manual/tareas/9-asignacion-de-tareas/,301
/manual/planificacion/9-sobre-las-localizaciones/,/manual/recursos-y-partes/9-sobre-las-localizaciones/,301
/manual/planificacion/a-cuadrante-por-localizaciones/,/manual/recursos-y-partes/a-cuadrante-por-localizaciones/,301
/manual/planificacion/b-especialidades/,/manual/gestion-de-personal/b-especialidades/,301
/manual/planificacion/b-peticiones-pendientes/,/manual/peticiones-y-cambios/b-peticiones-pendientes/,301
/manual/planificacion/cambios-de-turno/,/manual/peticiones-y-cambios/cambios-de-turno/,301
/manual/planificacion/como-informan-los-administradores-los-recursos-a-los-trabajadores/,/manual/recursos-y-partes/como-informan-los-administradores-los-recursos-a-los-trabajadores/,301
/manual/planificacion/como-informan-los-trabajadores-los-recursos/,/manual/recursos-y-partes/como-informan-los-trabajadores-los-recursos/,301
/manual/planificacion/como-recuperar-contrasena-desde-la-app-de-aturnos/,/manual/configuracion-y-cuenta/como-recuperar-contrasena-desde-la-app-de-aturnos/,301
/manual/planificacion/coste/,/manual/costes-y-nominas/coste/,301
/manual/planificacion/costes-categoria/,/manual/costes-y-nominas/costes-categoria/,301
/manual/planificacion/costes-por-turno/,/manual/costes-y-nominas/costes-por-turno/,301
/manual/planificacion/e-historial-de-peticiones/,/manual/peticiones-y-cambios/e-historial-de-peticiones/,301
/manual/planificacion/horas-presenciales-dentro-de-turno/,/manual/control-horario/horas-presenciales-dentro-de-turno/,301
/manual/planificacion/horas-presenciales-en-turno-computable/,/manual/control-horario/horas-presenciales-en-turno-computable/,301
/manual/planificacion/horas-presenciales-en-turno-no-computable/,/manual/control-horario/horas-presenciales-en-turno-no-computable/,301
/manual/planificacion/lanzar-peticiones-y-cambios/,/manual/peticiones-y-cambios/lanzar-peticiones-y-cambios/,301
/manual/planificacion/oferta-de-turno/,/manual/peticiones-y-cambios/oferta-de-turno/,301
/manual/planificacion/por-que-no-puedo-fichar-desde-la-app/,/manual/control-horario/por-que-no-puedo-fichar-desde-la-app/,301
/manual/planificacion/trabajador-planificado-control-de-presencia/,/manual/control-horario/trabajador-planificado-control-de-presencia/,301
/manual/recursos-y-partes/12-tareas/,/manual/tareas/12-tareas/,301
/manual/recursos-y-partes/2-1-nueva-peticion/,/manual/peticiones-y-cambios/2-1-nueva-peticion/,301
/manual/recursos-y-partes/2-8-crear-nueva-oferta/,/manual/peticiones-y-cambios/2-8-crear-nueva-oferta/,301
/manual/recursos-y-partes/2-cargar-la-demanda/,/manual/planificacion/2-cargar-la-demanda/,301
/manual/recursos-y-partes/conceptos-tipo-3-horas-planificadas-del-tipo-de-turno-seleccionado/,/manual/planificacion/conceptos-tipo-3-horas-planificadas-del-tipo-de-turno-seleccionado/,301
/manual/recursos-y-partes/costes-por-categoria/,/manual/costes-y-nominas/costes-por-categoria/,301
/manual/recursos-y-partes/costes-por-localizacion/,/manual/costes-y-nominas/costes-por-localizacion/,301
https://manual.aturnos.com/documentation/1-analisis-funcional/,/manual/gestion-de-personal/gestion-de-proyectos/,301
https://manual.aturnos.com/documentation/1-general/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-activar-un-trabajador/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-cambiar-el-nombre-a-un-equipo-de-trabajo/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-cambiar-las-horas-contrato-de-los-trabajadores-tras-una-modificacion-de-convenio-colectivo/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-cancelar-mi-suscripcion/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-crear-un-nuevo-equipo/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-dar-acceso-a-los-usuarios-en-aturnos/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-dar-de-alta-un-trabajador-que-ha-sido-dado-de-baja/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-dar-de-baja-a-un-trabajador-por-finalizacion-de-contrato/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-editar-el-nombre-de-un-trabajador-que-esta-activado/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-ordenar-las-localizaciones-de-mi-cuadrante/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-ordenar-los-trabajadores-de-mi-cuadrante/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-puedo-anadir-o-quitar-modulos-de-mi-suscripcion-de-aturnos/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-puedo-anadir-trabajadores/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-puedo-contratar-aturnos/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-puedo-modificar-mi-suscripcion-de-aturnos-por-el-numero-de-trabajadores/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-puedo-seleccionar-las-fechas-inicio-y-fin-del-calendario/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-se-puede-cambiar-lo-que-se-visualiza-en-el-cuadrante/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/como-se-realiza-el-calculo-estimado/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/gestiono-una-gran-empresa-aturnos-puede-ayudarme/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/por-que-aparecen-las-vacaciones-con-decimales/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/que-es-la-delegacion-de-administradores/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/que-es-y-como-dar-de-alta-una-posicion/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-general/que-tipo-de-roles-de-usuario-existen/,/manual/gestion-de-personal/preguntas-frecuentes-administradores/,301
https://manual.aturnos.com/documentation/1-generales/,/manual/gestion-de-personal/guia-de-usuario/,301
https://manual.aturnos.com/documentation/1-generales/como-cambiar-datos-de-mi-perfil-nombre-email-o-telefono/,/manual/gestion-de-personal/guia-de-usuario/,301
https://manual.aturnos.com/documentation/1-generales/como-cambiar-mi-foto-de-perfil-de-usuario-de-aturnos/,/manual/gestion-de-personal/guia-de-usuario/,301
